q, 0.0,  0.0
w, 1.9,  0.0
e, 3.8,  0.0
r, 5.6,  0.0
t, 7.5,  0.0
y, 9.4,  0.0
u, 11.3, 0.0
i, 13.2, 0.0
o, 15.1, 0.0
p, 17.0, 0.0
a, 0.5,  1.9
s, 2.4,  1.9
d, 4.3,  1.9
f, 6.2,  1.9
g, 8.1,  1.9
h, 10.0, 1.9
j, 11.9, 1.9
k, 13.8, 1.9
l, 15.8, 1.9
z, 1.5,  3.2
x, 3.4,  3.2
c, 5.3,  3.2
v, 7.2,  3.2
b, 9.1,  3.2
n, 11.1, 3.2
m, 12.9, 3.2
